col_0_0_	col_1_0_	col_2_0_
A00002287	260.000000000	3120.000000000
A00002225	260.000000000	3120.000000000
A00001641	260.000000000	3120.000000000
A00002350	260.000000000	3120.000000000
A00001738	260.000000000	3120.000000000
A00002146	260.000000000	3120.000000000
A00001754	260.000000000	3120.000000000
A00002474	260.000000000	3120.000000000
A00002054	260.000000000	3120.000000000
A00002593	260.000000000	3120.000000000
A00002155	260.000000000	3120.000000000
A00001681	260.000000000	3120.000000000
A00002300	260.000000000	3120.000000000
A00001787	260.000000000	3120.000000000
A00002034	260.000000000	3120.000000000
A00001871	260.000000000	3120.000000000
A00002050	260.000000000	3120.000000000
A00001817	260.000000000	3120.000000000
A00002497	260.000000000	3120.000000000
A00001863	260.000000000	3120.000000000
A00002424	260.000000000	3120.000000000
A00002012	260.000000000	3120.000000000
A00002363	260.000000000	3120.000000000
A00002079	260.000000000	3120.000000000
A00002399	260.000000000	3120.000000000
A00002511	260.000000000	3120.000000000
A00001642	260.000000000	3120.000000000
A00002282	260.000000000	3120.000000000
A00001752	260.000000000	3120.000000000
A00002304	260.000000000	3120.000000000
A00001620	260.000000000	3120.000000000
A00002438	260.000000000	3120.000000000
A00001816	260.000000000	3120.000000000
A00002447	260.000000000	3120.000000000
A00001737	260.000000000	3120.000000000
A00002541	260.000000000	3120.000000000
A00002024	260.000000000	3120.000000000
A00002592	260.000000000	3120.000000000
A00002018	260.000000000	3120.000000000
A00001804	260.000000000	3120.000000000
A00002019	260.000000000	3120.000000000
A00001862	260.000000000	3120.000000000
A00002032	260.000000000	3120.000000000
A00001720	260.000000000	3120.000000000
A00002388	260.000000000	3120.000000000
A00002005	260.000000000	3120.000000000
A00002458	260.000000000	3120.000000000
A00002133	260.000000000	3120.000000000
A00002099	260.000000000	3120.000000000
A00002310	260.000000000	3120.000000000
A00002182	260.000000000	3120.000000000
A00001989	260.000000000	3120.000000000
A00002263	260.000000000	3120.000000000
A00002406	260.000000000	3120.000000000
A00002299	260.000000000	3120.000000000
A00002451	260.000000000	3120.000000000
A00002320	260.000000000	3120.000000000
A00002521	260.000000000	3120.000000000
A00002346	260.000000000	3120.000000000
A00002295	260.000000000	3120.000000000
A00002528	260.000000000	3120.000000000
A00002345	260.000000000	3120.000000000
A00001651	260.000000000	3120.000000000
A00002100	260.000000000	3120.000000000
A00001703	260.000000000	3120.000000000
A00002177	260.000000000	3120.000000000
A00001734	260.000000000	3120.000000000
A00002063	260.000000000	3120.000000000
A00001768	260.000000000	3120.000000000
A00002217	260.000000000	3120.000000000
A00001619	260.000000000	3120.000000000
A00002583	260.000000000	3120.000000000
A00001829	260.000000000	3120.000000000
A00002596	260.000000000	3120.000000000
A00001782	260.000000000	3120.000000000
A00001729	260.000000000	3120.000000000
A00001888	260.000000000	3120.000000000
A00001781	260.000000000	3120.000000000
A00001819	260.000000000	3120.000000000
A00001838	260.000000000	3120.000000000
A00001915	260.000000000	3120.000000000
A00001732	260.000000000	3120.000000000
A00002036	260.000000000	3120.000000000
A00001889	260.000000000	3120.000000000
A00002053	260.000000000	3120.000000000
A00002098	260.000000000	3120.000000000
A00002183	260.000000000	3120.000000000
A00002118	260.000000000	3120.000000000
A00002228	260.000000000	3120.000000000
A00002461	260.000000000	3120.000000000
A00002259	260.000000000	3120.000000000
A00002479	260.000000000	3120.000000000
A00002061	260.000000000	3120.000000000
A00002564	260.000000000	3120.000000000
A00002475	260.000000000	3120.000000000
A00002587	260.000000000	3120.000000000
A00002343	260.000000000	3120.000000000
A00002600	260.000000000	3120.000000000
A00002149	260.000000000	3120.000000000
A00001712	260.000000000	3120.000000000
A00002258	260.000000000	3120.000000000
A00001743	260.000000000	3120.000000000
A00002289	260.000000000	3120.000000000
A00001618	260.000000000	3120.000000000
A00002566	260.000000000	3120.000000000
A00001760	260.000000000	3120.000000000
A00002589	260.000000000	3120.000000000
A00001779	260.000000000	3120.000000000
A00001646	260.000000000	3120.000000000
A00001813	260.000000000	3120.000000000
A00001667	260.000000000	3120.000000000
A00001852	260.000000000	3120.000000000
A00001676	260.000000000	3120.000000000
A00001649	260.000000000	3120.000000000
A00001776	260.000000000	3120.000000000
A00001887	260.000000000	3120.000000000
A00001885	260.000000000	3120.000000000
A00002064	260.000000000	3120.000000000
A00001875	260.000000000	3120.000000000
A00002413	260.000000000	3120.000000000
A00002042	260.000000000	3120.000000000
A00002487	260.000000000	3120.000000000
A00002084	260.000000000	3120.000000000
A00001774	260.000000000	3120.000000000
A00002101	260.000000000	3120.000000000
A00001665	260.000000000	3120.000000000
A00002195	260.000000000	3120.000000000
A00001671	260.000000000	3120.000000000
A00001996	260.000000000	3120.000000000
A00001775	260.000000000	3120.000000000
A00002004	260.000000000	3120.000000000
A00001818	260.000000000	3120.000000000
A00002153	260.000000000	3120.000000000
A00001872	260.000000000	3120.000000000
A00002456	260.000000000	3120.000000000
